Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
27.05.11;20:28;Köniz - Bläuacker;34240;6102;MB KARTOFFELGNOCCHI  700G;1.000;0.00;2.75
27.05.11;20:28;Köniz - Bläuacker;34240;6102;AGNESI ELICHE;1.000;0.45;1.60
27.05.11;20:28;Köniz - Bläuacker;34240;6102;BIO ITALIEN.SALAMI   MAXI;0.102;1.05;4.15
27.05.11;20:28;Köniz - Bläuacker;34240;6102;M-CLAS MAYONNAISE 170G TB;1.000;0.00;1.30
27.05.11;20:28;Köniz - Bläuacker;34240;6102;M-CLAS COTTAGE CHEESE NAT;1.000;0.00;1.60
27.05.11;20:28;Köniz - Bläuacker;34240;6102;GURKEN TP         ST S.;1.000;0.00;1.60
27.05.11;20:28;Köniz - Bläuacker;34240;6102;BIO RAHMTILSITER     250G;0.225;0.90;3.60
27.05.11;20:28;Köniz - Bläuacker;34240;6102;KLOSTER GREGORIUS 20BTL;1.000;0.00;2.40
27.05.11;20:28;Köniz - Bläuacker;34240;6102;DAMEN SLIPPERS 2_39-42,be;1.000;0.00;6.90
27.05.11;20:28;Köniz - Bläuacker;34240;6102;PEPERONI GEMISCHT AB H.;0.621;0.00;4.10
27.05.11;20:28;Köniz - Bläuacker;34240;6102;RADIESCHEN        BD S.;1.000;0.00;1.40
27.05.11;20:28;Köniz - Bläuacker;34240;6102;MAL OFENSCHINKEN     MIDI;0.183;1.55;5.50
27.05.11;20:28;Köniz - Bläuacker;34240;6102;AGNESI CRAVATTINE;1.000;0.45;1.60
27.05.11;20:28;Köniz - Bläuacker;34240;6102;STAE LUMOC PERM 1MM 4ST A;3.000;0.00;20.70
27.05.11;20:28;Köniz - Bläuacker;34240;6102;BIO KLOSTER BRENNES.20BTL;1.000;0.00;1.70
27.05.11;20:28;Köniz - Bläuacker;34240;6102;ADR M-DRINK PAST 1L;2.000;0.00;2.80
27.05.11;20:28;Köniz - Bläuacker;34240;6102;ERDBEEREN CH      AB 500G;1.000;1.10;4.20
27.05.11;20:28;Köniz - Bläuacker;34240;6102;NEKTARINEN GELBF. LOSE;0.618;0.00;4.20
